sum_error,avg_error,probe_selection,probe_set_number,distance_function,threshold,alpha,104.16.123.96,192.112.36.4,192.203.230.10,192.33.4.12,192.36.148.17,192.5.5.241,192.58.128.30,193.0.14.129,198.41.0.4,198.97.190.53,199.7.83.42,199.7.91.13,199.9.14.201,202.12.27.33
2.043841211341211,0.14598865795294366,area,1000,constant_1.52,30,0.7,0.030303030303030387,0.0,0.054054054054053946,0.25,0.05555555555555558,0.0625,0.12,0.0,0.16666666666666663,0.6,0.1333333333333333,0.0714285714285714,0.5,0.0
2.043841211341211,0.14598865795294366,area,1000,constant_1.52,20,0.7,0.030303030303030387,0.0,0.054054054054053946,0.25,0.05555555555555558,0.0625,0.12,0.0,0.16666666666666663,0.6,0.1333333333333333,0.0714285714285714,0.5,0.0
2.043841211341211,0.14598865795294366,area,1000,constant_1.52,10,0.7,0.030303030303030387,0.0,0.054054054054053946,0.25,0.05555555555555558,0.0625,0.12,0.0,0.16666666666666663,0.6,0.1333333333333333,0.0714285714285714,0.5,0.0
2.043841211341211,0.14598865795294366,area,1000,constant_1.52,-1,0.7,0.030303030303030387,0.0,0.054054054054053946,0.25,0.05555555555555558,0.0625,0.12,0.0,0.16666666666666663,0.6,0.1333333333333333,0.0714285714285714,0.5,0.0
2.0605750896849964,0.14718393497749976,area,1000,constant_1.52,30,1,0.02941176470588236,0.0,0.05555555555555558,0.25,0.05263157894736836,0.0625,0.12,0.0,0.2857142857142857,0.5,0.1333333333333333,0.0714285714285714,0.5,0.0
2.0605750896849964,0.14718393497749976,area,1000,constant_1.52,20,1,0.02941176470588236,0.0,0.05555555555555558,0.25,0.05263157894736836,0.0625,0.12,0.0,0.2857142857142857,0.5,0.1333333333333333,0.0714285714285714,0.5,0.0
2.0605750896849964,0.14718393497749976,area,1000,constant_1.52,10,1,0.02941176470588236,0.0,0.05555555555555558,0.25,0.05263157894736836,0.0625,0.12,0.0,0.2857142857142857,0.5,0.1333333333333333,0.0714285714285714,0.5,0.0
2.0605750896849964,0.14718393497749976,area,1000,constant_1.52,-1,1,0.02941176470588236,0.0,0.05555555555555558,0.25,0.05263157894736836,0.0625,0.12,0.0,0.2857142857142857,0.5,0.1333333333333333,0.0714285714285714,0.5,0.0
2.0693670491725413,0.14781193208375293,area,500,constant_1.52,30,0.5,0.0,0.0,0.07692307692307676,0.0,0.2666666666666667,0.125,0.10526315789473684,0.2222222222222222,0.0,0.0,0.1428571428571429,0.13043478260869568,0.5,0.5
2.0693670491725413,0.14781193208375293,area,500,constant_1.52,20,0.5,0.0,0.0,0.07692307692307676,0.0,0.2666666666666667,0.125,0.10526315789473684,0.2222222222222222,0.0,0.0,0.1428571428571429,0.13043478260869568,0.5,0.5
2.0693670491725413,0.14781193208375293,area,500,constant_1.52,10,0.5,0.0,0.0,0.07692307692307676,0.0,0.2666666666666667,0.125,0.10526315789473684,0.2222222222222222,0.0,0.0,0.1428571428571429,0.13043478260869568,0.5,0.5
2.0693670491725413,0.14781193208375293,area,500,constant_1.52,-1,0.5,0.0,0.0,0.07692307692307676,0.0,0.2666666666666667,0.125,0.10526315789473684,0.2222222222222222,0.0,0.0,0.1428571428571429,0.13043478260869568,0.5,0.5
2.069936561546468,0.14785261153903345,area,1000,constant_1.52,30,0.9,0.02941176470588236,0.0,0.05555555555555558,0.25,0.05263157894736836,0.09090909090909083,0.12,0.0,0.16666666666666663,0.6,0.1333333333333333,0.0714285714285714,0.5,0.0
2.069936561546468,0.14785261153903345,area,1000,constant_1.52,30,0.8,0.02941176470588236,0.0,0.05555555555555558,0.25,0.05263157894736836,0.09090909090909083,0.12,0.0,0.16666666666666663,0.6,0.1333333333333333,0.0714285714285714,0.5,0.0
2.069936561546468,0.14785261153903345,area,1000,constant_1.52,20,0.9,0.02941176470588236,0.0,0.05555555555555558,0.25,0.05263157894736836,0.09090909090909083,0.12,0.0,0.16666666666666663,0.6,0.1333333333333333,0.0714285714285714,0.5,0.0
2.069936561546468,0.14785261153903345,area,1000,constant_1.52,20,0.8,0.02941176470588236,0.0,0.05555555555555558,0.25,0.05263157894736836,0.09090909090909083,0.12,0.0,0.16666666666666663,0.6,0.1333333333333333,0.0714285714285714,0.5,0.0
2.069936561546468,0.14785261153903345,area,1000,constant_1.52,10,0.9,0.02941176470588236,0.0,0.05555555555555558,0.25,0.05263157894736836,0.09090909090909083,0.12,0.0,0.16666666666666663,0.6,0.1333333333333333,0.0714285714285714,0.5,0.0
2.069936561546468,0.14785261153903345,area,1000,constant_1.52,10,0.8,0.02941176470588236,0.0,0.05555555555555558,0.25,0.05263157894736836,0.09090909090909083,0.12,0.0,0.16666666666666663,0.6,0.1333333333333333,0.0714285714285714,0.5,0.0
2.069936561546468,0.14785261153903345,area,1000,constant_1.52,-1,0.9,0.02941176470588236,0.0,0.05555555555555558,0.25,0.05263157894736836,0.09090909090909083,0.12,0.0,0.16666666666666663,0.6,0.1333333333333333,0.0714285714285714,0.5,0.0
2.069936561546468,0.14785261153903345,area,1000,constant_1.52,-1,0.8,0.02941176470588236,0.0,0.05555555555555558,0.25,0.05263157894736836,0.09090909090909083,0.12,0.0,0.16666666666666663,0.6,0.1333333333333333,0.0714285714285714,0.5,0.0
2.2623783686283687,0.16159845490202632,area,1000,constant_1.52,5,0.6,0.06060606060606055,0.0,0.054054054054053946,0.25,0.11111111111111116,0.09375,0.08333333333333337,0.0,0.33333333333333337,0.5,0.1333333333333333,0.1428571428571429,0.5,0.0
2.3632647723120868,0.16880462659372047,area,300,constant_1.52,10,0.7,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.0,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.399045035295035,0.1713603596639311,area,1000,constant_1.52,30,0.6,0.06060606060606055,0.0,0.054054054054053946,0.25,0.11111111111111116,0.09375,0.12,0.0,0.33333333333333337,0.6,0.1333333333333333,0.1428571428571429,0.5,0.0
2.399045035295035,0.1713603596639311,area,1000,constant_1.52,20,0.6,0.06060606060606055,0.0,0.054054054054053946,0.25,0.11111111111111116,0.09375,0.12,0.0,0.33333333333333337,0.6,0.1333333333333333,0.1428571428571429,0.5,0.0
2.399045035295035,0.1713603596639311,area,1000,constant_1.52,10,0.6,0.06060606060606055,0.0,0.054054054054053946,0.25,0.11111111111111116,0.09375,0.12,0.0,0.33333333333333337,0.6,0.1333333333333333,0.1428571428571429,0.5,0.0
2.399045035295035,0.1713603596639311,area,1000,constant_1.52,-1,0.6,0.06060606060606055,0.0,0.054054054054053946,0.25,0.11111111111111116,0.09375,0.12,0.0,0.33333333333333337,0.6,0.1333333333333333,0.1428571428571429,0.5,0.0
2.417698818657898,0.17269277276127842,area,300,constant_1.52,5,1,0.0,0.0,0.0,0.33333333333333337,0.1875,0.08695652173913038,0.11764705882352944,0.0714285714285714,0.0,0.33333333333333337,0.09999999999999998,0.1875,0.5,0.5
2.417698818657898,0.17269277276127842,area,300,constant_1.52,5,0.9,0.0,0.0,0.0,0.33333333333333337,0.1875,0.08695652173913038,0.11764705882352944,0.0714285714285714,0.0,0.33333333333333337,0.09999999999999998,0.1875,0.5,0.5
2.417698818657898,0.17269277276127842,area,300,constant_1.52,5,0.8,0.0,0.0,0.0,0.33333333333333337,0.1875,0.08695652173913038,0.11764705882352944,0.0714285714285714,0.0,0.33333333333333337,0.09999999999999998,0.1875,0.5,0.5
2.417698818657898,0.17269277276127842,area,300,constant_1.52,5,0.7,0.0,0.0,0.0,0.33333333333333337,0.1875,0.08695652173913038,0.11764705882352944,0.0714285714285714,0.0,0.33333333333333337,0.09999999999999998,0.1875,0.5,0.5
2.5632647723120865,0.18309034087943477,area,300,constant_1.52,30,0.7,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.19999999999999996,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.5632647723120865,0.18309034087943477,area,300,constant_1.52,20,0.7,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.19999999999999996,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.5632647723120865,0.18309034087943477,area,300,constant_1.52,10,1,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.19999999999999996,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.5632647723120865,0.18309034087943477,area,300,constant_1.52,10,0.9,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.19999999999999996,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.5632647723120865,0.18309034087943477,area,300,constant_1.52,10,0.8,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.19999999999999996,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.5632647723120865,0.18309034087943477,area,300,constant_1.52,-1,0.7,0.0,0.0,0.0,0.25,0.1875,0.08695652173913038,0.16666666666666663,0.0714285714285714,0.19999999999999996,0.33333333333333337,0.09090909090909083,0.17647058823529416,0.5,0.5
2.6773733576365157,0.19124095411689399,area,1000,constant_1.52,5,0.5,0.12121212121212122,0.0,0.11111111111111116,0.25,0.21052631578947367,0.125,0.08333333333333337,0.09999999999999998,0.33333333333333337,0.5,0.19999999999999996,0.1428571428571429,0.5,0.0
